city,site.ID,plant,root.1.L,root.2.L,root.3.L,root.4.L,root.5.L,root.1.nod,root.2.nod,root.3.nod,root.4.nod,root.5.nod,total.root.L,total.nod,nod.density
Toronto,site.20,8,4.2,2.7,3.5,0,0,1,2,1,0,0,10.4,4,0.384615385
Toronto,site.20,9,3.7,1.8,0.8,0,0,0,0,0,0,0,6.3,0,0
Toronto,site.20,10,1.7,2.3,5.6,5.2,0,0,0,2,7,0,14.8,9,0.608108108
Toronto,site.21,1,1.4,2.4,2.5,1.8,3.5,0,2,0,0,0,11.6,2,0.172413793
Toronto,site.21,2,1.1,0.7,1,0,0,0,1,2,0,0,2.8,3,1.071428571
Toronto,site.21,3,5.7,3.2,3.1,0,0,0,1,8,0,0,12,9,0.75
Toronto,site.21,4,1.8,0,0,0,0,3,0,0,0,0,1.8,3,1.666666667
Toronto,site.21,5,3,4.8,1.6,0,0,0,1,1,0,0,9.4,2,0.212765957
Toronto,site.21,6,2.5,1.1,2.2,1.3,1.7,0,3,0,0,0,8.8,3,0.340909091
Toronto,site.21,7,2.8,4,1.9,0,0,0,1,1,0,0,8.7,2,0.229885057
Toronto,site.21,8,2.1,2.2,3,0,0,0,0,3,0,0,7.3,3,0.410958904
Toronto,site.21,9,2.2,1.1,3.1,3.4,2.9,0,2,0,0,1,12.7,3,0.236220472
Toronto,site.21,10,3.6,2.1,7.1,0,0,3,0,4,0,0,12.8,7,0.546875
Toronto,site.22,1,1.6,2,1.9,1.8,2,0,1,4,0,0,9.3,5,0.537634409
Toronto,site.22,2,2.1,2.8,3.3,2.4,0,0,1,0,0,0,10.6,1,0.094339623
Toronto,site.22,3,2,1.8,2.7,1.4,4.3,0,0,0,0,0,12.2,0,0
Toronto,site.22,4,1.4,2.4,4.8,0,0,0,1,1,0,0,8.6,2,0.23255814
Toronto,site.22,5,2.2,4.7,3,0,0,1,0,1,0,0,9.9,2,0.202020202
Toronto,site.22,6,2.6,3,3.9,6,0,0,0,1,4,0,15.5,5,0.322580645
Toronto,site.22,7,2,7.8,3.9,0,0,4,0,1,0,0,13.7,5,0.364963504
Toronto,site.22,8,2.1,2.2,0,0,0,0,1,0,0,0,4.3,1,0.23255814
Toronto,site.22,9,2.8,2,4.2,1.1,0,1,0,1,1,0,10.1,3,0.297029703
Toronto,site.22,10,3.1,5,2.3,0,0,1,1,1,0,0,10.4,3,0.288461538
Toronto,site.23,1,1.4,3.8,1.5,3.9,0,0,2,3,2,0,10.6,7,0.660377358
Toronto,site.23,2,2.4,3.5,1.7,2,2,0,0,0,0,0,11.6,0,0
Toronto,site.23,3,2.6,2.4,4.3,4.2,0,1,0,1,0,0,13.5,2,0.148148148
Toronto,site.23,4,2.1,1.8,2.7,2.6,3.7,0,2,1,4,0,12.9,7,0.542635659
Toronto,site.23,5,3.3,2.4,2.6,5.1,0,4,3,4,1,0,13.4,12,0.895522388
Toronto,site.23,6,3.6,2.2,3.7,3.4,0,1,0,0,1,0,12.9,2,0.15503876
Toronto,site.23,7,1.6,5.3,2.9,0,0,1,1,0,0,0,9.8,2,0.204081633
Toronto,site.23,8,2.2,2.4,3.3,5.1,0,0,0,1,0,0,13,1,0.076923077
Toronto,site.23,9,1.6,2.2,1.7,2.6,4,0,1,0,0,1,12.1,2,0.165289256
Toronto,site.23,10,2.6,2.8,2.3,3.5,0,0,0,1,0,0,11.2,1,0.089285714
Toronto,site.24,1,3.3,2,3,2.9,0,0,3,0,1,0,11.2,4,0.357142857
Toronto,site.24,2,1.8,2,2.9,2,2.1,4,1,0,0,0,10.8,5,0.462962963
Toronto,site.24,3,2.7,3.1,0,0,0,2,1,0,0,0,5.8,3,0.517241379
Toronto,site.24,4,3.6,2,0,0,0,4,0,0,0,0,5.6,4,0.714285714
Toronto,site.24,5,3.1,2.2,1.7,3.7,0,0,1,0,0,0,10.7,1,0.093457944
Toronto,site.24,6,0.8,2.9,1.5,5,0,4,2,3,0,0,10.2,9,0.882352941
Toronto,site.24,7,2.4,2.3,1.8,2.5,2,0,1,0,1,1,11,3,0.272727273
